Age,Ever_Married,Cluster
45,1,1
40,0,0
45,1,1
41,1,3
62,1,1
61,1,1
50,1,1
53,1,1
39,0,0
86,0,0
50,1,1
46,0,0
52,0,0
45,0,0
37,0,0
36,1,3
25,0,0
40,0,0
41,1,3
25,1,3
80,1,2
46,0,0
81,1,2
40,1,3
49,0,0
26,0,0
26,0,0
47,0,0
71,1,2
48,1,1
39,1,3
50,1,1
46,0,0
26,1,3
42,1,3
36,1,3
29,0,0
39,0,0
41,0,0
48,1,1
40,1,3
25,0,0
41,1,3
37,0,0
53,0,0
51,1,1
73,1,2
61,1,1
39,0,0
19,0,0
19,0,0
23,0,0
83,1,2
62,1,1
43,0,0
27,0,0
50,0,0
23,0,0
35,0,0
32,0,0
42,0,0
33,0,0
28,0,0
35,1,3
35,0,0
39,1,3
28,1,3
35,1,3
45,1,1
73,1,2
52,0,0
28,0,0
38,1,3
42,0,0
26,0,0
27,0,0
41,1,3
41,1,3
47,1,1
35,0,0
88,0,0
46,0,0
41,1,3
30,0,0
43,1,3
29,0,0
48,1,1
61,1,1
51,0,0
38,0,0
49,1,1
43,0,0
27,0,0
35,0,0
39,1,3
52,1,1
38,0,0
30,0,0
43,0,0
42,0,0
46,0,0
47,0,0
32,0,0
53,1,1
43,1,3
39,0,0
42,1,3
37,0,0
19,0,0
30,0,0
49,1,1
55,1,1
59,1,1
46,1,1
27,1,3
25,0,0
37,0,0
38,0,0
29,0,0
28,0,0
27,1,3
42,0,0
43,0,0
40,1,3
41,0,0
46,1,1
32,0,0
56,0,0
28,0,0
25,0,0
42,1,3
41,0,0
36,1,3
42,0,0
42,0,0
55,0,0
52,1,1
47,0,0
57,1,1
26,0,0
28,0,0
37,0,0
89,1,2
25,0,0
50,1,1
42,0,0
48,0,0
37,0,0
30,0,0
26,1,3
47,1,1
36,0,0
53,1,1
30,0,0
20,0,0
19,0,0
19,0,0
37,0,0
20,0,0
39,1,3
26,0,0
31,0,0
31,1,3
41,1,3
32,1,3
42,1,3
89,1,2
78,1,2
65,1,2
48,1,1
36,0,0
55,1,1
52,1,1
52,1,1
41,1,3
36,1,3
37,0,0
40,0,0
38,1,3
25,0,0
33,0,0
26,0,0
28,0,0
18,0,0
52,0,0
26,0,0
18,0,0
20,0,0
36,1,3
27,1,3
21,0,0
27,0,0
28,0,0
63,1,1
48,0,0
80,1,2
71,1,2
47,1,1
22,0,0
35,1,3
40,0,0
18,0,0
26,0,0
73,1,2
86,1,2
37,0,0
59,1,1
28,0,0
29,1,3
37,1,3
46,1,1
39,0,0
33,0,0
32,0,0
32,0,0
25,1,3
48,1,1
27,0,0
49,0,0
33,1,3
33,0,0
39,1,3
50,1,1
84,1,2
46,1,1
31,1,3
57,1,1
73,1,2
36,1,3
53,0,0
41,1,3
53,0,0
35,1,3
62,1,1
23,0,0
51,0,0
83,1,2
26,0,0
86,1,2
26,0,0
42,1,3
41,1,3
67,1,2
68,1,2
45,1,1
86,1,2
62,1,1
42,1,3
26,0,0
48,0,0
40,1,3
20,0,0
25,0,0
37,0,0
77,1,2
50,1,1
22,0,0
26,0,0
71,1,2
50,1,1
29,0,0
51,1,1
52,1,1
20,0,0
26,0,0
37,0,0
33,0,0
39,1,3
53,1,1
49,1,1
21,0,0
39,1,3
38,1,3
22,0,0
52,1,1
40,0,0
20,0,0
41,0,0
30,0,0
89,1,2
83,1,2
53,1,1
31,0,0
48,1,1
29,0,0
87,1,2
19,0,0
60,1,1
23,0,0
61,1,1
27,0,0
32,1,3
79,1,2
19,0,0
42,1,3
76,1,2
41,1,3
38,1,3
43,1,3
19,0,0
28,0,0
56,1,1
28,0,0
60,1,1
55,0,0
35,1,3
25,0,0
71,1,2
65,1,2
74,1,2
20,0,0
43,1,3
20,0,0
40,1,3
46,1,1
65,1,2
21,0,0
50,1,1
18,0,0
61,1,1
49,1,1
39,1,3
52,1,1
56,1,1
55,1,1
42,1,3
33,0,0
19,0,0
27,0,0
38,1,3
38,0,0
43,1,3
53,1,1
33,1,3
30,0,0
22,0,0
33,0,0
21,0,0
20,0,0
19,0,0
58,1,1
67,1,2
36,1,3
30,0,0
23,0,0
42,0,0
37,0,0
58,1,1
26,1,3
39,0,0
23,0,0
41,1,3
26,1,3
25,1,3
19,0,0
36,0,0
29,0,0
26,0,0
78,0,0
55,0,0
26,0,0
46,0,0
29,0,0
36,0,0
27,1,3
29,0,0
25,0,0
30,0,0
45,1,1
21,0,0
41,1,3
38,1,3
28,0,0
33,0,0
31,1,3
45,1,1
47,1,1
39,0,0
47,0,0
53,1,1
27,0,0
37,1,3
62,1,1
29,0,0
51,1,1
30,0,0
18,0,0
87,1,2
68,1,2
84,1,2
22,0,0
22,0,0
21,0,0
89,1,2
73,1,2
75,1,2
20,0,0
22,0,0
22,0,0
63,1,1
46,1,1
58,1,1
41,0,0
42,1,3
43,1,3
49,0,0
40,0,0
53,1,1
36,1,3
50,1,1
42,1,3
30,0,0
29,0,0
28,0,0
27,0,0
49,0,0
32,0,0
25,0,0
63,1,1
42,0,0
31,0,0
71,1,2
20,0,0
22,0,0
29,0,0
47,1,1
43,1,3
32,0,0
47,1,1
46,0,0
41,1,3
37,1,3
40,1,3
60,1,1
46,1,1
36,1,3
38,0,0
32,1,3
41,0,0
56,1,1
31,1,3
45,1,1
69,1,2
37,1,3
47,1,1
52,1,1
57,1,1
50,0,0
27,1,3
45,1,1
30,0,0
45,1,1
30,0,0
31,1,3
45,1,1
67,1,2
76,1,2
69,1,2
83,1,2
38,1,3
36,1,3
41,0,0
69,1,2
33,0,0
38,0,0
48,1,1
51,1,1
56,1,1
57,1,1
49,1,1
30,0,0
40,1,3
30,0,0
38,1,3
31,0,0
33,0,0
50,0,0
52,1,1
39,1,3
73,1,2
46,1,1
50,1,1
30,0,0
60,1,1
39,1,3
59,1,1
51,1,1
40,1,3
23,0,0
53,1,1
32,0,0
52,1,1
31,0,0
30,0,0
25,0,0
40,1,3
27,0,0
61,1,1
33,0,0
28,0,0
48,1,1
73,1,2
36,1,3
32,0,0
82,1,2
28,0,0
42,0,0
60,1,1
46,0,0
31,0,0
50,1,1
30,0,0
49,0,0
51,1,1
46,1,1
53,1,1
65,1,2
22,0,0
65,1,2
39,1,3
84,1,2
37,0,0
28,1,3
82,1,2
87,1,2
69,0,0
51,1,1
74,1,2
79,1,2
21,0,0
20,0,0
43,0,0
25,0,0
43,0,0
42,0,0
25,0,0
59,1,1
49,0,0
32,0,0
36,1,3
45,1,1
29,0,0
37,1,3
48,1,1
65,0,0
39,0,0
25,0,0
49,1,1
77,1,2
38,0,0
19,0,0
76,1,2
28,0,0
51,1,1
28,0,0
42,0,0
45,1,1
63,1,1
18,0,0
26,0,0
31,1,3
43,0,0
60,1,1
36,0,0
32,0,0
68,1,2
60,1,1
42,0,0
18,0,0
69,1,2
42,0,0
70,1,2
25,0,0
56,1,1
40,0,0
23,0,0
20,0,0
39,0,0
19,0,0
28,0,0
40,1,3
60,1,1
33,0,0
20,1,3
35,0,0
27,0,0
42,1,3
30,1,3
56,1,1
28,1,3
38,1,3
26,0,0
36,0,0
56,0,0
26,0,0
28,0,0
32,0,0
52,0,0
23,0,0
23,0,0
50,1,1
26,1,3
40,1,3
53,1,1
63,1,1
62,1,1
38,0,0
57,1,1
43,0,0
21,0,0
22,0,0
68,1,2
28,0,0
33,1,3
38,0,0
23,0,0
41,0,0
41,0,0
39,0,0
49,1,1
33,1,3
79,1,2
38,1,3
21,0,0
68,1,2
31,0,0
46,1,1
35,1,3
42,0,0
87,1,2
38,0,0
88,1,2
42,0,0
26,1,3
35,1,3
41,1,3
37,1,3
41,1,3
35,0,0
33,0,0
61,1,1
19,0,0
50,0,0
48,1,1
57,1,1
72,1,2
39,0,0
49,1,1
41,0,0
65,1,2
22,0,0
23,0,0
41,1,3
42,1,3
18,0,0
49,1,1
40,1,3
50,1,1
19,0,0
22,0,0
23,0,0
27,0,0
55,1,1
32,1,3
57,1,1
80,1,2
43,1,3
79,1,2
25,0,0
58,1,1
78,1,2
76,1,2
27,0,0
47,1,1
43,1,3
31,0,0
27,0,0
31,0,0
46,1,1
48,1,1
51,1,1
57,1,1
30,0,0
37,0,0
31,0,0
49,1,1
56,1,1
83,1,2
32,0,0
63,1,1
71,1,2
50,1,1
31,0,0
60,1,1
71,1,2
49,1,1
74,1,2
51,1,1
61,1,1
46,0,0
39,1,3
85,1,2
31,1,3
39,1,3
48,1,1
71,1,2
31,0,0
32,0,0
55,1,1
46,1,1
53,1,1
50,1,1
45,0,0
33,1,3
29,1,3
35,0,0
25,0,0
26,0,0
48,0,0
66,1,2
38,1,3
65,1,2
87,1,2
20,0,0
19,0,0
22,0,0
18,0,0
18,0,0
19,0,0
19,0,0
22,0,0
31,0,0
63,1,1
43,0,0
73,0,0
39,1,3
31,0,0
31,0,0
43,1,3
52,1,1
63,1,1
51,1,1
35,1,3
32,1,3
39,1,3
25,0,0
20,0,0
33,0,0
36,1,3
35,1,3
42,1,3
52,1,1
42,1,3
57,1,1
30,0,0
73,1,2
66,1,2
62,1,1
36,1,3
33,0,0
28,0,0
48,1,1
53,1,1
27,1,3
71,1,2
35,1,3
41,0,0
39,1,3
79,1,2
29,0,0
33,0,0
31,0,0
25,1,3
43,1,3
52,1,1
41,1,3
27,1,3
39,1,3
32,0,0
19,0,0
58,1,1
30,0,0
31,0,0
43,1,3
63,1,1
37,1,3
37,1,3
31,1,3
38,0,0
41,1,3
45,1,1
35,1,3
43,1,3
33,0,0
26,0,0
39,1,3
49,1,1
47,1,1
53,1,1
52,1,1
66,1,2
26,0,0
38,1,3
25,0,0
53,1,1
87,1,2
28,0,0
37,1,3
42,1,3
25,1,3
33,1,3
33,0,0
46,1,1
33,0,0
26,0,0
32,0,0
25,0,0
18,0,0
22,0,0
19,0,0
46,1,1
19,0,0
45,1,1
52,1,1
42,1,3
47,1,1
45,1,1
32,0,0
41,1,3
28,0,0
37,1,3
20,1,3
73,1,2
51,1,1
18,1,3
42,1,3
20,0,0
23,0,0
31,1,3
33,1,3
21,0,0
51,1,1
47,1,1
20,0,0
21,0,0
22,0,0
32,0,0
30,0,0
61,1,1
43,1,3
25,0,0
46,1,1
53,1,1
55,1,1
42,1,3
26,0,0
29,0,0
39,1,3
38,1,3
69,1,2
25,0,0
26,0,0
51,1,1
30,1,3
28,1,3
33,0,0
41,0,0
71,0,0
42,1,3
71,1,2
35,1,3
28,0,0
31,1,3
43,1,3
77,1,2
71,1,2
47,1,1
26,0,0
40,1,3
72,1,2
73,1,2
26,0,0
57,1,1
30,1,3
36,1,3
52,1,1
42,1,3
52,1,1
28,1,3
43,1,3
43,0,0
25,0,0
52,1,1
28,0,0
56,1,1
38,1,3
83,1,2
82,1,2
32,1,3
35,0,0
40,1,3
25,0,0
39,1,3
25,0,0
52,1,1
33,0,0
28,0,0
43,0,0
30,0,0
84,1,2
48,1,1
55,1,1
37,1,3
38,1,3
28,0,0
86,1,2
35,0,0
35,0,0
46,1,1
79,1,2
63,1,1
50,1,1
35,0,0
65,1,2
50,1,1
27,0,0
45,1,1
36,0,0
43,1,3
62,1,1
57,1,1
51,0,0
59,1,1
27,1,3
83,1,2
50,1,1
75,1,2
28,0,0
39,1,3
69,1,2
41,0,0
28,1,3
39,1,3
47,0,0
62,1,1
41,1,3
49,1,1
52,1,1
48,1,1
26,0,0
72,1,2
47,1,1
19,0,0
21,0,0
39,0,0
52,0,0
37,1,3
51,1,1
48,1,1
22,0,0
47,1,1
45,1,1
29,0,0
47,1,1
41,1,3
32,1,3
31,1,3
20,0,0
46,1,1
70,1,2
65,1,2
68,1,2
29,1,3
41,1,3
50,1,1
38,1,3
37,1,3
30,1,3
63,1,1
42,1,3
41,1,3
60,1,1
46,1,1
83,1,2
27,1,3
22,0,0
20,0,0
40,1,3
28,0,0
28,0,0
28,1,3
20,0,0
53,1,1
35,1,3
21,0,0
30,0,0
46,1,1
36,0,0
38,1,3
26,1,3
45,1,1
46,1,1
25,0,0
27,0,0
42,1,3
20,1,3
55,1,1
25,0,0
27,1,3
31,0,0
38,1,3
43,1,3
59,1,1
61,1,1
27,1,3
26,1,3
39,1,3
51,1,1
47,1,1
52,1,1
59,1,1
57,1,1
86,1,2
49,1,1
30,0,0
43,1,3
19,0,0
20,0,0
19,0,0
43,1,3
31,0,0
30,1,3
27,1,3
36,1,3
47,1,1
35,1,3
25,1,3
25,1,3
38,0,0
32,0,0
48,1,1
38,0,0
70,1,2
42,0,0
85,1,2
25,0,0
31,0,0
20,0,0
37,1,3
33,0,0
52,0,0
26,0,0
21,0,0
42,0,0
35,1,3
39,1,3
41,1,3
18,0,0
22,0,0
25,1,3
20,0,0
18,0,0
20,0,0
21,0,0
25,0,0
60,1,1
46,1,1
68,1,2
21,0,0
27,0,0
59,1,1
26,0,0
26,1,3
32,1,3
33,0,0
28,0,0
30,0,0
32,0,0
41,0,0
42,1,3
45,1,1
39,0,0
29,0,0
46,1,1
26,1,3
26,0,0
41,1,3
38,1,3
69,1,2
46,0,0
40,0,0
25,0,0
59,1,1
26,0,0
33,0,0
56,1,1
30,0,0
26,0,0
28,0,0
28,1,3
20,0,0
41,1,3
37,1,3
59,1,1
43,1,3
20,0,0
30,0,0
66,1,2
28,1,3
49,1,1
61,1,1
27,1,3
35,1,3
33,1,3
36,1,3
27,0,0
29,0,0
31,0,0
30,0,0
43,1,3
47,1,1
42,0,0
33,0,0
36,0,0
30,0,0
60,1,1
32,0,0
32,1,3
28,0,0
46,1,1
38,1,3
28,1,3
30,1,3
52,1,1
46,1,1
37,1,3
25,0,0
43,1,3
32,0,0
50,1,1
43,1,3
37,1,3
61,1,1
39,1,3
46,1,1
37,1,3
36,1,3
28,0,0
86,1,2
42,0,0
82,1,2
18,0,0
18,0,0
36,0,0
26,0,0
49,1,1
69,1,2
29,0,0
68,0,0
33,0,0
38,1,3
52,1,1
28,1,3
27,0,0
28,0,0
25,1,3
30,0,0
40,1,3
25,0,0
30,0,0
43,1,3
26,0,0
37,1,3
28,0,0
31,1,3
46,1,1
47,1,1
28,0,0
30,0,0
29,1,3
23,0,0
22,0,0
20,0,0
22,0,0
19,0,0
21,0,0
19,0,0
39,0,0
38,1,3
33,0,0
38,0,0
29,0,0
35,1,3
32,1,3
59,1,1
32,0,0
29,0,0
31,0,0
59,1,1
87,1,2
53,1,1
83,1,2
33,0,0
26,0,0
39,1,3
27,0,0
42,1,3
46,1,1
63,1,1
32,0,0
38,0,0
38,0,0
63,1,1
45,0,0
33,0,0
27,0,0
87,1,2
25,0,0
61,1,1
41,1,3
86,1,2
51,1,1
83,1,2
60,1,1
65,1,2
32,0,0
41,1,3
56,1,1
74,1,2
39,1,3
42,0,0
68,1,2
30,0,0
32,0,0
43,1,3
40,1,3
87,1,2
43,1,3
48,1,1
58,1,1
52,1,1
30,0,0
53,1,1
56,1,1
48,1,1
28,1,3
61,1,1
62,1,1
49,1,1
40,1,3
62,1,1
35,0,0
48,0,0
36,1,3
56,1,1
66,1,2
40,0,0
57,1,1
42,1,3
35,1,3
58,1,1
29,0,0
26,0,0
84,1,2
86,1,2
77,1,2
37,0,0
74,1,2
27,0,0
56,1,1
27,0,0
39,1,3
35,1,3
66,1,2
47,0,0
36,1,3
43,1,3
55,1,1
41,1,3
26,0,0
72,1,2
59,1,1
38,1,3
72,1,2
31,0,0
41,0,0
25,0,0
29,0,0
83,1,2
51,1,1
40,1,3
76,1,2
29,1,3
46,1,1
58,1,1
46,0,0
74,1,2
53,1,1
63,1,1
49,1,1
25,0,0
46,0,0
43,0,0
58,1,1
41,1,3
28,0,0
26,0,0
29,0,0
33,0,0
39,0,0
51,1,1
46,1,1
38,1,3
26,1,3
42,1,3
43,1,3
53,1,1
46,1,1
40,1,3
71,1,2
32,1,3
41,0,0
46,0,0
40,1,3
29,0,0
25,1,3
52,1,1
30,0,0
25,1,3
32,0,0
33,0,0
49,0,0
43,0,0
48,1,1
41,0,0
29,0,0
35,0,0
41,1,3
47,1,1
53,1,1
40,1,3
40,1,3
46,1,1
36,0,0
71,1,2
30,1,3
40,1,3
43,1,3
40,1,3
39,1,3
49,1,1
51,1,1
39,1,3
23,1,3
53,1,1
35,0,0
35,0,0
30,1,3
39,1,3
38,0,0
53,0,0
36,0,0
33,0,0
40,0,0
36,1,3
31,0,0
31,0,0
41,1,3
48,1,1
38,1,3
49,1,1
42,1,3
28,1,3
51,1,1
41,1,3
57,1,1
67,1,2
29,1,3
46,1,1
49,1,1
28,0,0
48,1,1
51,1,1
48,1,1
48,1,1
52,1,1
39,1,3
50,1,1
33,0,0
35,0,0
30,1,3
46,1,1
36,0,0
43,0,0
26,1,3
33,1,3
50,1,1
49,1,1
48,1,1
31,0,0
38,1,3
21,0,0
50,1,1
23,0,0
21,1,3
71,1,2
20,0,0
32,1,3
29,1,3
42,1,3
20,0,0
36,1,3
42,1,3
18,0,0
25,0,0
30,0,0
28,0,0
42,1,3
38,1,3
42,1,3
52,1,1
29,1,3
40,1,3
38,0,0
37,1,3
65,1,2
81,1,2
59,1,1
47,1,1
57,1,1
39,1,3
32,1,3
37,1,3
39,0,0
39,1,3
60,1,1
70,1,2
51,1,1
48,1,1
43,0,0
29,1,3
43,1,3
25,0,0
75,1,2
22,0,0
86,1,2
50,1,1
73,1,2
87,0,0
49,1,1
46,1,1
73,1,2
87,1,2
53,1,1
84,1,2
47,1,1
59,1,1
82,1,2
71,1,2
39,1,3
25,0,0
67,1,2
83,1,2
49,1,1
87,1,2
69,1,2
40,1,3
87,1,2
68,1,2
43,1,3
67,1,2
80,1,2
65,1,2
29,0,0
60,1,1
72,1,2
57,1,1
47,1,1
39,1,3
62,1,1
81,1,2
65,1,2
47,0,0
40,1,3
86,1,2
67,1,2
45,1,1
27,0,0
32,0,0
41,1,3
27,1,3
58,1,1
61,1,1
52,1,1
25,0,0
33,0,0
31,0,0
37,0,0
38,1,3
81,1,2
61,1,1
20,0,0
48,1,1
43,1,3
22,0,0
63,1,1
25,0,0
73,0,0
43,1,3
39,1,3
49,1,1
83,1,2
22,0,0
31,0,0
60,1,1
42,1,3
25,0,0
29,0,0
29,1,3
39,1,3
33,1,3
35,1,3
38,1,3
59,1,1
67,1,2
45,1,1
70,1,2
19,0,0
23,0,0
22,0,0
23,0,0
80,1,2
40,1,3
36,0,0
31,1,3
20,1,3
31,1,3
50,1,1
67,1,2
43,1,3
85,1,2
65,1,2
71,1,2
20,0,0
20,0,0
87,1,2
37,1,3
59,1,1
29,0,0
85,1,2
72,1,2
42,0,0
45,1,1
59,1,1
19,0,0
47,1,1
73,1,2
42,1,3
37,0,0
38,0,0
41,0,0
40,0,0
30,1,3
56,1,1
65,1,2
35,1,3
37,1,3
36,0,0
26,1,3
25,0,0
30,0,0
37,1,3
30,0,0
46,1,1
38,0,0
40,0,0
31,0,0
45,1,1
55,1,1
51,1,1
29,0,0
74,1,2
69,1,2
28,0,0
41,1,3
29,1,3
39,1,3
74,1,2
59,0,0
27,0,0
33,0,0
31,0,0
46,1,1
63,1,1
22,0,0
53,0,0
59,1,1
84,1,2
63,1,1
35,1,3
21,0,0
67,1,2
41,1,3
27,0,0
53,1,1
33,0,0
32,0,0
59,1,1
50,1,1
50,1,1
41,1,3
71,1,2
33,0,0
46,1,1
78,0,0
69,1,2
40,0,0
43,1,3
36,1,3
35,1,3
30,0,0
47,1,1
69,1,2
41,1,3
33,1,3
27,0,0
38,1,3
35,1,3
27,1,3
51,1,1
52,1,1
53,0,0
43,1,3
42,1,3
36,0,0
36,0,0
40,0,0
47,1,1
30,0,0
53,1,1
45,1,1
33,0,0
40,0,0
36,1,3
32,0,0
51,1,1
49,0,0
81,1,2
72,1,2
70,0,0
21,0,0
21,0,0
41,1,3
49,0,0
51,0,0
28,1,3
37,0,0
63,1,1
19,0,0
32,0,0
51,1,1
26,1,3
61,1,1
51,1,1
45,1,1
29,1,3
47,1,1
25,0,0
40,0,0
45,0,0
32,1,3
38,1,3
38,0,0
48,1,1
71,0,0
46,1,1
46,1,1
49,1,1
43,1,3
38,0,0
25,0,0
46,1,1
28,0,0
41,0,0
32,0,0
21,0,0
22,0,0
27,0,0
40,1,3
68,1,2
25,0,0
28,0,0
28,0,0
27,0,0
67,1,2
46,1,1
33,0,0
40,1,3
48,1,1
42,1,3
56,0,0
51,0,0
27,0,0
25,0,0
51,1,1
26,1,3
35,0,0
25,1,3
30,0,0
41,0,0
42,1,3
40,1,3
36,0,0
39,0,0
40,1,3
40,1,3
28,0,0
31,0,0
41,0,0
28,0,0
30,0,0
30,0,0
38,0,0
43,1,3
29,0,0
30,0,0
27,1,3
48,1,1
51,0,0
48,0,0
28,0,0
40,0,0
51,1,1
36,1,3
51,0,0
45,1,1
40,0,0
40,0,0
41,1,3
43,1,3
21,1,3
23,0,0
31,0,0
42,1,3
61,1,1
45,1,1
63,1,1
86,1,2
67,1,2
71,1,2
43,1,3
28,1,3
47,1,1
53,1,1
36,1,3
35,1,3
48,1,1
60,1,1
45,1,1
42,1,3
89,1,2
23,0,0
46,1,1
22,0,0
30,0,0
58,1,1
73,1,2
71,1,2
35,1,3
52,1,1
84,1,2
47,1,1
39,1,3
40,1,3
46,0,0
40,0,0
27,0,0
23,0,0
21,0,0
70,1,2
28,1,3
58,1,1
27,1,3
49,1,1
37,1,3
39,1,3
28,0,0
73,1,2
51,1,1
48,1,1
72,1,2
47,1,1
67,1,2
77,1,2
46,1,1
52,1,1
67,1,2
62,1,1
45,1,1
40,1,3
60,1,1
37,1,3
69,1,2
58,1,1
52,1,1
20,0,0
23,1,3
66,1,2
19,0,0
53,1,1
59,1,1
61,1,1
68,1,2
20,0,0
20,0,0
49,1,1
19,0,0
27,0,0
32,1,3
67,1,2
27,0,0
72,1,2
32,0,0
28,0,0
29,1,3
19,0,0
52,1,1
47,1,1
19,0,0
18,0,0
79,1,2
19,0,0
48,1,1
52,1,1
23,0,0
58,1,1
69,1,2
37,1,3
30,0,0
25,1,3
39,0,0
43,1,3
32,0,0
23,0,0
30,0,0
41,1,3
49,1,1
66,1,2
67,1,2
30,0,0
39,0,0
52,1,1
57,1,1
63,1,1
52,1,1
61,1,1
35,1,3
52,1,1
45,1,1
37,1,3
45,1,1
55,1,1
49,1,1
42,1,3
39,1,3
18,0,0
43,1,3
50,1,1
37,1,3
37,0,0
63,1,1
83,1,2
55,1,1
71,1,2
87,1,2
49,1,1
27,1,3
25,1,3
42,1,3
66,1,2
32,0,0
32,1,3
37,1,3
62,1,1
33,0,0
45,1,1
18,1,3
37,1,3
30,0,0
31,0,0
48,1,1
31,0,0
36,1,3
61,1,1
83,1,2
77,1,2
46,1,1
48,1,1
19,0,0
21,0,0
40,0,0
27,0,0
49,1,1
19,0,0
53,0,0
29,0,0
23,0,0
84,1,2
38,0,0
26,0,0
19,0,0
22,1,3
20,1,3
36,1,3
18,0,0
20,0,0
18,0,0
32,1,3
18,0,0
18,0,0
21,0,0
75,1,2
37,1,3
35,1,3
20,0,0
58,1,1
33,0,0
58,1,1
20,0,0
50,1,1
51,0,0
27,0,0
58,1,1
62,1,1
79,1,2
19,0,0
33,0,0
36,1,3
29,1,3
28,1,3
22,0,0
21,0,0
22,0,0
28,0,0
48,1,1
48,1,1
66,1,2
47,1,1
68,1,2
73,1,2
59,1,1
38,1,3
76,1,2
40,1,3
49,1,1
33,0,0
18,0,0
69,1,2
22,0,0
18,0,0
20,0,0
36,1,3
67,1,2
37,1,3
26,0,0
51,1,1
67,1,2
29,0,0
76,1,2
86,1,2
51,1,1
35,1,3
30,0,0
47,1,1
81,1,2
85,1,2
60,1,1
21,0,0
40,1,3
35,1,3
35,1,3
41,0,0
18,0,0
22,0,0
61,1,1
23,0,0
31,0,0
82,1,2
84,1,2
41,1,3
66,1,2
57,1,1
20,0,0
32,0,0
29,0,0
36,1,3
38,1,3
43,1,3
42,0,0
48,1,1
62,1,1
63,0,0
60,1,1
63,1,1
62,1,1
40,1,3
63,1,1
19,0,0
21,0,0
21,0,0
22,0,0
60,1,1
59,1,1
73,1,2
52,1,1
66,1,2
61,1,1
61,1,1
